,index,spu_name,label
0,1,虎斑幼犬活体大型广西土猎狗赶山猎犬活物幼崽真狗大骨架混血家养,['宠物 宠物食品 狗零食']
0,2,[涵]纯种活物小狗宠物狗幼犬茶杯狗博美俊介犬茶杯犬博美犬家养,['宠物 宠物食品 狗零食']
0,3,纯种泰迪幼犬活体茶杯犬泰迪犬长不大真狗小狗幼崽宠物泰迪狗家养,['宠物 宠物食品 狗零食']
0,4,领养茶杯犬博美俊介幼犬活体可爱迷你长不大真狗狗活物幼体宠物,['宠物 宠物医药品 猫狗医药品']
0,5,纯种金毛幼犬金毛活体金毛犬导盲犬性格温顺大型犬活体宠物狗犬【,['宠物 宠物食品 狗粮']
0,6,出售中华田园猫家猫土猫捕鼠猫宠物猫幼崽橘猫狸花猫白黑猫咪活体,['宠物 宠物医药品 猫狗医药品']
0,7,海双布偶弟弟布偶猫蓝双手套公猫波斯系长毛猫品种猫,['箱包饰品 饰品 手套']
0,8,阿比西尼亚猫纯种幼猫同城家养猫咪活物宠物埃及短毛小猫幼崽活体,['宠物 宠物医药品 猫狗保健品']
0,9,猫咪活体宠物猫家猫狸猫橘猫花猫幼猫黑猫送礼猫小猫活体,['宠物 宠物用品 猫狗出行用品']
0,10,江门猫舍纯种美短 起司加白 虎斑猫 无病无藓 可视频挑选送上门,['宠物 宠物医药品 猫狗医药品']
0,11,大帆长鳍长尾蝶翼斑马鱼龙凤斑马热带鱼小型观赏鱼,['宠物 宠物活体 水族活体']
0,12,潮汕溪吻虾虎原生冷水小型观赏鱼苗淡水溪流鱼活体包邮,['宠物 宠物活体 水族活体']
0,13,热带鱼观赏鱼小型鱼曼龙鱼五彩丽丽鱼好养耐活鱼彩裙鱼宠物活体鱼,['宠物 宠物活体 水族活体']
0,14,接吻鱼活体亲嘴鱼KISS鱼可爱萌萌哒热带鱼观赏鱼淡水宠物鱼,['宠物 宠物活体 水族活体']
0,15,观赏鱼小型热带鱼大帆蝶翼长尾斑马鱼冷水鱼练手活体鱼苗荧光翡,['宠物 宠物活体 水族活体']
0,16,孔雀鱼活体鱼木炭黑黑玫瑰观赏宠物淡水鱼场直销包活满包邮,['宠物 宠物活体 水族活体']
0,17,jolly 天竺鼠粮2.5kg荷兰猪葵鼠粮祖莉 al043  宠物用品实体店,['宠物 宠物食品 其它宠物食品']
0,18,小仓鼠活体三线银狐金丝熊仓鼠宠物一只仓鼠宝宝幼崽包活一对情侣,['宠物 宠物用品 其它宠物用品']
0,19,乌龟活体北美小活体鳄鱼龟杂佛大龟苗宠物龟观赏龟水龟,['宠物 宠物活体 水族活体']
0,20,【现货速发】巴西龟批发龟苗活体小乌龟活物观赏宠物龟摆摊夜市外,['宠物 宠物活体 水族活体']
