index,spu_name,label,batch_id
1,虎斑幼犬活体大型广西土猎狗赶山猎犬活物幼崽真狗大骨架混血家养,['宠物 宠物医药品 猫狗医药品'],2022-07-01
2,[涵]纯种活物小狗宠物狗幼犬茶杯狗博美俊介犬茶杯犬博美犬家养,['宠物 宠物用品 猫狗喂养用品'],2022-07-01
3,纯种泰迪幼犬活体茶杯犬泰迪犬长不大真狗小狗幼崽宠物泰迪狗家养,['宠物 宠物用品 猫狗喂养用品'],2022-07-01
4,领养茶杯犬博美俊介幼犬活体可爱迷你长不大真狗狗活物幼体宠物,['宠物 宠物医药品 猫狗保健品'],2022-07-01
5,纯种金毛幼犬金毛活体金毛犬导盲犬性格温顺大型犬活体宠物狗犬【,['宠物 宠物医药品 猫狗保健品'],2022-07-01
6,出售中华田园猫家猫土猫捕鼠猫宠物猫幼崽橘猫狸花猫白黑猫咪活体,['宠物 宠物医药品 猫狗保健品'],2022-07-01
7,海双布偶弟弟布偶猫蓝双手套公猫波斯系长毛猫品种猫,['母婴 玩具 毛绒布艺'],2022-07-01
8,阿比西尼亚猫纯种幼猫同城家养猫咪活物宠物埃及短毛小猫幼崽活体,['宠物 宠物医药品 猫狗保健品'],2022-07-01
9,猫咪活体宠物猫家猫狸猫橘猫花猫幼猫黑猫送礼猫小猫活体,['宠物 宠物医药品 猫狗保健品'],2022-07-01
10,江门猫舍纯种美短 起司加白 虎斑猫 无病无藓 可视频挑选送上门,['家居家装 建材 装饰材料'],2022-07-01
11,大帆长鳍长尾蝶翼斑马鱼龙凤斑马热带鱼小型观赏鱼,['宠物 宠物活体 水族活体'],2022-07-01
12,潮汕溪吻虾虎原生冷水小型观赏鱼苗淡水溪流鱼活体包邮,['宠物 宠物活体 水族活体'],2022-07-01
13,热带鱼观赏鱼小型鱼曼龙鱼五彩丽丽鱼好养耐活鱼彩裙鱼宠物活体鱼,['宠物 宠物活体 水族活体'],2022-07-01
14,接吻鱼活体亲嘴鱼KISS鱼可爱萌萌哒热带鱼观赏鱼淡水宠物鱼,['宠物 宠物活体 水族活体'],2022-07-01
15,观赏鱼小型热带鱼大帆蝶翼长尾斑马鱼冷水鱼练手活体鱼苗荧光翡,['宠物 宠物活体 水族活体'],2022-07-01
16,孔雀鱼活体鱼木炭黑黑玫瑰观赏宠物淡水鱼场直销包活满包邮,['宠物 宠物活体 水族活体'],2022-07-01
17,jolly 天竺鼠粮2.5kg荷兰猪葵鼠粮祖莉 al043  宠物用品实体店,['宠物 宠物食品 其它宠物食品'],2022-07-01
18,小仓鼠活体三线银狐金丝熊仓鼠宠物一只仓鼠宝宝幼崽包活一对情侣,['宠物 宠物用品 其它宠物用品'],2022-07-01
19,乌龟活体北美小活体鳄鱼龟杂佛大龟苗宠物龟观赏龟水龟,['宠物 宠物活体 水族活体'],2022-07-01
20,【现货速发】巴西龟批发龟苗活体小乌龟活物观赏宠物龟摆摊夜市外,['宠物 宠物活体 水族活体'],2022-07-01
21,【现货速发】面包虫活体黄粉虫活虫活物乌龟仓鼠龙鱼八哥蜥蜴蜘蛛,['宠物 宠物活体 水族活体'],2022-07-01
22,【现货速发】墨龟苗活体全黑小乌龟活物黑腹外塘情侣龟苗宠物龟水,['宠物 宠物活体 水族活体'],2022-07-01
23,小兔子活体长不大侏儒兔小型熊猫猫猫兔垂耳兔凤眼宠物兔包邮宠物,['宠物 宠物用品 猫狗出行用品'],2022-07-01
24,专业宠物寄养包接送，猫咪狗狗单间带24小时监控，预定春节寄养,['宠物 宠物用品 猫狗出行用品'],2022-07-01
25,毛孩子衣食住行生活需求救助服务,['图书音像 图书 生活'],2022-07-01
26,流浪狗流浪猫救助站宠物云救助基地,['电脑办公 电脑整机 服务器工作站'],2022-07-01
27,小动物的爱心喂养,['母婴 喂养用品 其它-喂养用品'],2022-07-01
28,杭州寄养宠物猫蓝猫英短美短阿比西尼亚猫渐层猫咪运费自理拍定金,['宠物 宠物医药品 猫狗保健品'],2022-07-01
29,线上狗狗训练营【SVIP钻石会员一对一服务】包教包会,['宠物 宠物用品 猫狗出行用品'],2022-07-01
30,口碑分伊燕狗狗服务10,['宠物 宠物用品 宠物服饰'],2022-07-01
31,小妹养猫教程服务,['图书音像 图书 生活'],2022-07-01
32,鱼缸定制职业玩家专属鱼缸家庭装修鱼缸VIP全程终身服务,['宠物 宠物用品 鱼缸'],2022-07-01
33,【北京】德文卷毛猫妹妹猫服务（外地不包邮）,['宠物 宠物用品 猫狗出行用品'],2022-07-01
34,狗粮泰迪金毛博美萨摩耶成犬幼犬通用型大中小型犬10斤装5斤1,['宠物 宠物食品 狗粮'],2022-07-01
35,麦富迪狗粮鹿肉双拼小型犬双拼粮10kg通用型成犬20斤,['宠物 宠物食品 狗粮'],2022-07-01
36,皇家狗粮小型犬幼犬狗粮犬粮泰迪比熊博美贵宾雪纳瑞通用型2kg,['宠物 宠物食品 狗粮'],2022-07-01
37,耀目 约克夏狗粮幼犬成犬小型犬专用粮去泪痕天然粮4斤,['宠物 宠物食品 狗粮'],2022-07-01
38,狗粮10斤装通用型泰迪博美金毛拉布拉多成犬幼犬5斤大中小型犬1斤,['宠物 宠物食品 狗粮'],2022-07-01
39,黑鼻头 单一肉源 零食单一肉源低敏原切冻干鸭胸肉鸡胸肉三文鱼,['宠物 宠物食品 猫罐头'],2022-07-01
40,猫咪零食冻干鸡肉粒鸡胸混合全家桶小鱼干蛋黄狗零食增肥发腮补钙,['宠物 宠物食品 猫零食'],2022-07-01
41,冻干鹌鹑蛋黄狗狗零食营养增肥卵磷脂训练小型犬泰迪比熊毛用品,['宠物 宠物食品 狗零食'],2022-07-01
42,顽皮狗狗磨牙棒幼犬洁齿棒狗零食小型犬咬胶耐咬宠物专用清洁牙齿,['宠物 宠物食品 狗零食'],2022-07-01
43,狗狗零食 手工自制风干肉干零食5品套餐,['宠物 宠物食品 狗零食'],2022-07-01
44,达里猫开心鱼肉包海吱吱猫零食猫咪湿粮包猫罐头60克*12袋,['宠物 宠物食品 猫零食'],2022-07-01
45,Schesir雪诗雅【汤煮系列】彩虹猫罐头进口成幼猫搭配主粮6罐,['宠物 宠物食品 猫罐头'],2022-07-01
46,腐败猫德国Leonardo小李子莱昂纳多主食罐头无谷猫罐湿粮200g400g,['宠物 宠物食品 猫罐头'],2022-07-01
47,味途猫零食幼猫零食猫粮猫罐头12罐猫湿粮发腮猫咪狗狗湿粮拌饭,['宠物 宠物食品 猫罐头'],2022-07-01
48,猫罐头猫零食增肥发腮补钙白肉罐头幼猫猫咪零食12罐整箱猫主食罐,['宠物 宠物食品 猫罐头'],2022-07-01
49,双拼猫粮10斤暹罗成猫幼猫专用成年小鱼干增肥发腮冻干5斤20斤,['宠物 宠物食品 猫粮'],2022-07-01
50,WOWO喔喔冻干鸡肉三文鱼全猫粮无谷美毛发腮增肥呵护肠胃主粮1斤,['宠物 宠物食品 猫粮'],2022-07-01
51,可莉丝汀去毛球泌尿猫粮天然营养猫粮试吃增肥发腮通用型桶装粮,['宠物 宠物食品 猫粮'],2022-07-01
52,SANPO/珍宝猫粮喜多鱼20斤全价成年期猫粮鱼肉味10kg成幼猫粮40斤,['宠物 宠物食品 猫粮'],2022-07-01
53,猫粮成猫幼猫美短英短蓝猫通用型鲜鱼肉冻干多拼营养品质猫主粮,['宠物 宠物食品 猫粮'],2022-07-01
54,伊纳宝妙好啾噜猫条零食湿粮包鲜包幼猫营养增肥 48包192支整箱,['宠物 宠物食品 猫零食'],2022-07-01
55,猫条猫零食批发一整箱增肥发胖猫咪幼猫营养条,['宠物 宠物食品 猫零食'],2022-07-01
56,帕特冻干猫零食宠物鲜肉鸡胸肉冻干幼猫成猫营养增肥纯肉饼狗零食,['宠物 宠物食品 猫零食'],2022-07-01
